"",""
"Action","Action"
"Add Holiday","Add Holiday"
"An error occurred while updating the holidays.","An error occurred while updating the holidays."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find holiday to delete.","Could not find holiday to delete."
"Created at","Created at"
"Delete Holiday","Delete Holiday"
"Delete","Delete"
"Disabled","Disabled"
"Edit Holiday '%s'","Edit Holiday '%s'"
"Edit","Edit"
"Enabled","Enabled"
"End Date","End Date"
"Error saving holiday","Error saving holiday"
"Excel","Excel"
"From Date","From Date"
"Holiday Name","Holiday Name"
"Holiday Status","Holiday Status"
"Holiday was saved","Holiday was saved"
"Holiday was successfully deleted.","Holiday was successfully deleted."
"Holiday was successfully saved","Holiday was successfully saved"
"Holiday","Holiday"
"Holidays","Holidays"
"Home","Home"
"Id","Id"
"No","No"
"None","None"
"Please select holidays to delete.","Please select holidays to delete."
"Please select holidays.","Please select holidays."
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Holiday","Save Holiday"
"Select your end date.","Select your end date."
"Select your start date.","Select your start date."
"Status","Status"
"Store views","Store views"
"The holidays has been deleted.","The holidays has been deleted."
"There was a problem saving the holiday.","There was a problem saving the holiday."
"There was an error deleting holiday.","There was an error deleting holiday."
"There was an error deleting holidays.","There was an error deleting holidays."
"There was an error updating holidays.","There was an error updating holidays."
"This holiday no longer exists.","This holiday no longer exists."
"Total of %d holidays were successfully deleted.","Total of %d holidays were successfully deleted."
"Total of %d holidays were successfully updated.","Total of %d holidays were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find holiday to save.","Unable to find holiday to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"